Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
26,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
27,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
28,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
29,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
30,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
31,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
32,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
33,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
34,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
35,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
36,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
37,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
38,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
39,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
40,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
41,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
42,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
43,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
44,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
45,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
46,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
47,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
48,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
49,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
50,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
51,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
52,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
53,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
54,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
55,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
56,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
57,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
58,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
59,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
60,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
61,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
62,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
63,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
64,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
65,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
66,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,0.085,0.0,0.27399999999999997,0.54,2.0,9.0
67,0.175,0.0,0.099,0.24100000000000002,0.525,0.0,0.9079999999999999,0.556,0.258,0.0,0.265,0.145,0.37,0.0,0.945,0.441,0.085,0.0,0.271,0.54,2.0,9.0
68,0.175,0.0,0.205,0.24100000000000002,0.525,0.0,1.0070000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
69,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
70,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
71,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
72,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
73,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
74,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
75,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
76,0.175,0.0,0.113,0.24100000000000002,0.525,0.0,1.0090000000000001,0.556,0.258,0.0,0.21,0.145,0.37,0.0,0.975,0.441,0.085,0.0,0.048,0.54,2.0,9.0
