Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
11,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
12,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
13,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
14,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
15,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
16,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
17,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
18,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
19,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
20,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.39399999999999996,0.0,0.41600000000000004,0.368,0.6579999999999999,0.0,0.74,0.7559999999999999,2.0,8.0
21,0.6859999999999999,0.0,0.054000000000000006,0.386,0.28600000000000003,0.0,0.24600000000000002,0.174,0.415,0.0,0.341,0.504,0.652,0.0,0.154,0.02,0.501,0.0,0.535,0.22899999999999998,2.0,8.0
22,1.3980000000000001,0.0,0.325,0.436,0.9009999999999999,0.0,0.447,0.094,0.299,0.0,0.521,0.33399999999999996,0.652,0.0,0.149,0.02,0.501,0.0,0.541,0.22899999999999998,2.0,8.0
23,1.3980000000000001,0.0,0.325,0.436,0.9009999999999999,0.0,0.42700000000000005,0.094,0.299,0.0,0.531,0.33399999999999996,0.652,0.0,0.125,0.02,0.501,0.0,0.551,0.22899999999999998,2.0,8.0
24,1.3980000000000001,0.0,0.3,0.436,0.9009999999999999,0.0,0.33299999999999996,0.094,0.299,0.0,0.545,0.33399999999999996,0.258,0.0,0.02,0.145,0.37,0.0,0.79,0.441,2.0,8.0
443,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
444,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
445,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
446,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
447,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
448,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
449,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
450,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
451,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
452,0.175,5.5760000000000005,1.689,0.083,0.048,5.471,1.24,0.171,0.264,4.963,0.177,0.198,0.317,4.958,0.155,0.545,0.42100000000000004,4.881,0.063,0.196,2.0,8.0
