Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
16063,0.268,0.63,0.654,0.33,0.21100000000000002,0.7240000000000001,0.74,0.131,0.033,0.348,0.23399999999999999,0.136,0.6779999999999999,0.032,0.316,0.353,0.245,0.033,0.11199999999999999,0.19899999999999998,1.0,6.0
16064,0.29100000000000004,0.6609999999999999,0.65,0.353,0.184,0.759,0.731,0.15,0.026000000000000002,0.369,0.222,0.127,0.6579999999999999,0.032,0.316,0.336,0.223,0.037000000000000005,0.09300000000000001,0.19699999999999998,1.0,6.0
16065,0.314,0.713,0.652,0.374,0.166,0.792,0.7190000000000001,0.16399999999999998,0.023,0.375,0.20800000000000002,0.122,0.657,0.032,0.317,0.32799999999999996,0.22399999999999998,0.048,0.076,0.207,1.0,6.0
16066,0.342,0.755,0.6609999999999999,0.395,0.17,0.8109999999999999,0.7020000000000001,0.16399999999999998,0.025,0.366,0.19,0.126,0.657,0.032,0.33299999999999996,0.318,0.243,0.065,0.064,0.22399999999999998,1.0,6.0
16067,0.374,0.7659999999999999,0.6579999999999999,0.42,0.18899999999999997,0.812,0.677,0.141,0.03,0.34600000000000003,0.171,0.136,0.6559999999999999,0.026000000000000002,0.35100000000000003,0.289,0.272,0.086,0.055999999999999994,0.243,1.0,6.0
16068,0.408,0.755,0.64,0.449,0.213,0.81,0.645,0.09,0.033,0.319,0.156,0.14800000000000002,0.647,0.023,0.368,0.22,0.302,0.10800000000000001,0.051,0.26,1.0,6.0
16069,0.45,0.7440000000000001,0.616,0.486,0.24100000000000002,0.815,0.606,0.022000000000000002,0.028999999999999998,0.28600000000000003,0.14800000000000002,0.16,0.6409999999999999,0.125,0.377,0.115,0.327,0.131,0.044000000000000004,0.27399999999999997,1.0,6.0
16070,0.501,0.74,0.5920000000000001,0.532,0.272,0.826,0.565,0.043,0.02,0.249,0.15,0.165,0.64,0.24600000000000002,0.377,0.021,0.342,0.152,0.031,0.28,1.0,6.0
16071,0.5589999999999999,0.752,0.578,0.595,0.29600000000000004,0.826,0.537,0.083,0.016,0.207,0.156,0.16,0.635,0.345,0.37799999999999995,0.02,0.34,0.17300000000000001,0.012,0.273,1.0,6.0
16072,0.617,0.7859999999999999,0.5870000000000001,0.675,0.29600000000000004,0.7979999999999999,0.535,0.08800000000000001,0.024,0.158,0.157,0.147,0.62,0.455,0.402,0.02,0.317,0.195,0.008,0.273,1.0,6.0
16073,0.677,0.825,0.6409999999999999,0.675,0.252,0.7390000000000001,0.5670000000000001,0.08800000000000001,0.033,0.1,0.14400000000000002,0.147,0.62,0.455,0.45399999999999996,0.02,0.317,0.195,0.027000000000000003,0.273,1.0,6.0
16074,0.677,0.825,0.738,0.675,0.252,0.7390000000000001,0.621,0.08800000000000001,0.033,0.1,0.114,0.147,0.62,0.455,0.45399999999999996,0.02,0.317,0.195,0.027000000000000003,0.273,1.0,6.0
